SYMBOL,SECTOR
20MICRONS,Other/SmallCap
21STCENMGM,Other/SmallCap
360ONE,Other/SmallCap
3IINFOLTD,Other/SmallCap
3MINDIA,Other/SmallCap
3PLAND,Other/SmallCap
5PAISA,Other/SmallCap
5PAISA-RE,Other/SmallCap
63MOONS,Other/SmallCap
A2ZINFRA,Other/SmallCap
AAATECH,Other/SmallCap
AADHARHFC,Other/SmallCap
AAKASH,Other/SmallCap
AAREYDRUGS,Other/SmallCap
AARNAV,Other/SmallCap
AARON,Other/SmallCap
AARTECH,Other/SmallCap
AARTIDRUGS,Other/SmallCap
AARTIIND,Other/SmallCap
AARTIPHARM,Other/SmallCap
AARTISURF,Other/SmallCap
AARVI,Other/SmallCap
AAVAS,Other/SmallCap
ABB,Other/SmallCap
ABBOTINDIA,Other/SmallCap
ABCAPITAL,Other/SmallCap
ABCOTS,Other/SmallCap
ABDL,Other/SmallCap
ABFRL,Other/SmallCap
ABINFRA,Other/SmallCap
ABLBL,Other/SmallCap
ABMINTLLTD,Other/SmallCap
ABREL,Other/SmallCap
ABSLAMC,Other/SmallCap
ACC,Other/SmallCap
ACCELYA,Other/SmallCap
ACCURACY,Other/SmallCap
ACE,Other/SmallCap
ACEINTEG,Other/SmallCap
ACI,Other/SmallCap
ACL,Other/SmallCap
ACMESOLAR,Other/SmallCap
ACUTAAS,Other/SmallCap
ADANIENSOL,Other/SmallCap
ADANIENT,Other/SmallCap
ADANIGREEN,Other/SmallCap
ADANIPORTS,Other/SmallCap
ADANIPOWER,Other/SmallCap
ADFFOODS,Other/SmallCap
ADL,Other/SmallCap
ADOR,Other/SmallCap
ADROITINFO,Other/SmallCap
ADSL,Other/SmallCap
ADVAIT,Other/SmallCap
ADVANCE,Other/SmallCap
ADVANIHOTR,Other/SmallCap
ADVENTHTL,Other/SmallCap
ADVENZYMES,Other/SmallCap
AEGISLOG,Other/SmallCap
AEGISVOPAK,Other/SmallCap
AEPL,Other/SmallCap
AEQUS,Other/SmallCap
AEROENTER,Other/SmallCap
AEROFLEX,Other/SmallCap
AERONEU,Other/SmallCap
AETHER,Other/SmallCap
AFCONS,Other/SmallCap
AFFLE,Other/SmallCap
AFFORDABLE,Other/SmallCap
AFIL,Other/SmallCap
AFSL,Other/SmallCap
AGARIND,Other/SmallCap
AGARWALEYE,Other/SmallCap
AGI,Other/SmallCap
AGIIL,Other/SmallCap
AGRITECH,Other/SmallCap
AGROPHOS,Other/SmallCap
AGSTRA,Other/SmallCap
AHCL,Other/SmallCap
AHLADA,Other/SmallCap
AHLEAST,Other/SmallCap
AHLUCONT,Other/SmallCap
AHLWEST,Other/SmallCap
AIAENG,Other/SmallCap
AIIL,Other/SmallCap
AIRAN,Other/SmallCap
AIROLAM,Other/SmallCap
AJANTPHARM,Other/SmallCap
AJAXENGG,Other/SmallCap
AJMERA,Other/SmallCap
AJOONI,Other/SmallCap
AKASH,Other/SmallCap
AKG,Other/SmallCap
AKI,Other/SmallCap
AKSHAR,Other/SmallCap
AKSHARCHEM,Other/SmallCap
AKSHOPTFBR,Other/SmallCap
AKUMS,Other/SmallCap
AKZOINDIA,Other/SmallCap
ALANKIT,Other/SmallCap
ALBERTDAVD,Other/SmallCap
ALEMBICLTD,Other/SmallCap
ALGOQUANT,Other/SmallCap
ALICON,Other/SmallCap
ALIVUS,Other/SmallCap
ALKALI,Other/SmallCap
ALKEM,Other/SmallCap
ALKYLAMINE,Other/SmallCap
ALLCARGO,Other/SmallCap
ALLDIGI,Other/SmallCap
ALLTIME,Other/SmallCap
ALMONDZ,Other/SmallCap
ALOKINDS,Other/SmallCap
ALPA,Other/SmallCap
ALPHAGEO,Other/SmallCap
AMAGI,Other/SmallCap
AMANTA,Other/SmallCap
AMBER,Other/SmallCap
AMBICAAGAR,Other/SmallCap
AMBIKCO,Other/SmallCap
AMBUJACEM,Other/SmallCap
AMDIND,Other/SmallCap
AMIRCHAND,Other/SmallCap
AMJLAND,Other/SmallCap
AMNPLST,Other/SmallCap
AMRUTANJAN,Other/SmallCap
ANANDRATHI,Other/SmallCap
ANANTRAJ,Other/SmallCap
ANDHRAPAP,Other/SmallCap
ANDHRSUGAR,Other/SmallCap
ANGELONE,Other/SmallCap
ANIKINDS,Other/SmallCap
ANKITMETAL,Other/SmallCap
ANMOL,Other/SmallCap
ANSALAPI,Other/SmallCap
ANTELOPUS,Other/SmallCap
ANTGRAPHIC,Other/SmallCap
ANTHEM,Other/SmallCap
ANUHPHR,Other/SmallCap
ANUP,Other/SmallCap
ANURAS,Other/SmallCap
APARINDS,Other/SmallCap
APCL,Other/SmallCap
APCOTEXIND,Other/SmallCap
APEX,Other/SmallCap
APLAPOLLO,Other/SmallCap
APLLTD,Other/SmallCap
APOLLO,Other/SmallCap
APOLLOHOSP,Other/SmallCap
APOLLOPIPE,Other/SmallCap
APOLLOTYRE,Other/SmallCap
APOLSINHOT,Other/SmallCap
APTECHT,Other/SmallCap
APTUS,Other/SmallCap
AQYLON,Other/SmallCap
ARCHIDPLY,Other/SmallCap
ARCHIES,Other/SmallCap
ARE&M,Other/SmallCap
ARENTERP,Other/SmallCap
ARFIN,Other/SmallCap
ARIES,Other/SmallCap
ARIHANTCAP,Other/SmallCap
ARIHANTSUP,Other/SmallCap
ARIS,Other/SmallCap
ARKADE,Other/SmallCap
ARMANFIN,Other/SmallCap
AROGRANITE,Other/SmallCap
ARROWGREEN,Other/SmallCap
ARSHIYA,Other/SmallCap
ARSSBL,Other/SmallCap
ARTEMISMED,Other/SmallCap
ARTNIRMAN,Other/SmallCap
ARVEE,Other/SmallCap
ARVIND,Other/SmallCap
ARVINDFASN,Other/SmallCap
ARVSMART,Other/SmallCap
ASAHIINDIA,Other/SmallCap
ASAHISONG,Other/SmallCap
ASAL,Other/SmallCap
ASALCBR,Other/SmallCap
ASHAPURMIN,Other/SmallCap
ASHIANA,Other/SmallCap
ASHIMASYN,Other/SmallCap
ASHOKA,Other/SmallCap
ASHOKAMET,Other/SmallCap
ASHOKLEY,Other/SmallCap
ASIANENE,Other/SmallCap
ASIANHOTNR,Other/SmallCap
ASIANPAINT,Other/SmallCap
ASIANTILES,Other/SmallCap
ASKAUTOLTD,Other/SmallCap
ASMS,Other/SmallCap
ASPINWALL,Other/SmallCap
ASTEC,Other/SmallCap
ASTERDM,Other/SmallCap
ASTRAL,Other/SmallCap
ASTRAMICRO,Other/SmallCap
ASTRAZEN,Other/SmallCap
ASTRON,Other/SmallCap
ATALREAL,Other/SmallCap
ATAM,Other/SmallCap
ATGL,Other/SmallCap
ATHERENERG,Other/SmallCap
ATL,Other/SmallCap
ATLANTAA,Other/SmallCap
ATLANTAELE,Other/SmallCap
ATLASCYCLE,Other/SmallCap
ATUL,Other/SmallCap
ATULAUTO,Other/SmallCap
AUBANK,Other/SmallCap
AURIGROW,Other/SmallCap
AURIONPRO,Other/SmallCap
AUROPHARMA,Other/SmallCap
AURUM,Other/SmallCap
AUSOMENT,Other/SmallCap
AUTOAXLES,Other/SmallCap
AUTOIND,Other/SmallCap
AVADHSUGAR,Other/SmallCap
AVALON,Other/SmallCap
AVANTEL,Other/SmallCap
AVANTIFEED,Other/SmallCap
AVG,Other/SmallCap
AVL,Other/SmallCap
AVONMORE,Other/SmallCap
AVROIND,Other/SmallCap
AVTNPL,Other/SmallCap
AWFIS,Other/SmallCap
AWHCL,Other/SmallCap
AWL,Other/SmallCap
AXISBANK,Other/SmallCap
AXISCADES,Other/SmallCap
AXITA,Other/SmallCap
AYE,Other/SmallCap
AYMSYNTEX,Other/SmallCap
AZAD,Other/SmallCap
BAFNAPH,Other/SmallCap
BAGFILMS,Other/SmallCap
BAIDFIN,Other/SmallCap
BAJAJ-AUTO,Other/SmallCap
BAJAJCON,Other/SmallCap
BAJAJELEC,Other/SmallCap
BAJAJFINSV,Other/SmallCap
BAJAJHCARE,Other/SmallCap
BAJAJHFL,Other/SmallCap
BAJAJHIND,Other/SmallCap
BAJAJHLDNG,Other/SmallCap
BAJAJINDEF,Other/SmallCap
BAJEL,Other/SmallCap
BAJFINANCE,Other/SmallCap
BALAJEE,Other/SmallCap
BALAJITELE,Other/SmallCap
BALAMINES,Other/SmallCap
BALAXI,Other/SmallCap
BALKRISHNA,Other/SmallCap
BALKRISIND,Other/SmallCap
BALMLAWRIE,Other/SmallCap
BALPHARMA,Other/SmallCap
BALRAMCHIN,Other/SmallCap
BALUFORGE,Other/SmallCap
BANARBEADS,Other/SmallCap
BANARISUG,Other/SmallCap
BANCOINDIA,Other/SmallCap
BANDHANBNK,Other/SmallCap
BANG,Other/SmallCap
BANKA,Other/SmallCap
BANKBARODA,Other/SmallCap
BANKINDIA,Other/SmallCap
BANSALWIRE,Other/SmallCap
BANSWRAS,Other/SmallCap
BASF,Other/SmallCap
BASML,Other/SmallCap
BATAINDIA,Other/SmallCap
BAYERCROP,Other/SmallCap
BBL,Other/SmallCap
BBOX,Other/SmallCap
BBTC,Other/SmallCap
BBTCL,Other/SmallCap
BCG,Other/SmallCap
BCLIND,Other/SmallCap
BCONCEPTS,Other/SmallCap
BCPL,Other/SmallCap
BDL,Other/SmallCap
BEARDSELL,Other/SmallCap
BECTORFOOD,Other/SmallCap
BEDMUTHA,Other/SmallCap
BEL,Other/SmallCap
BELLACASA,Other/SmallCap
BELRISE,Other/SmallCap
BEML,Other/SmallCap
BEPL,Other/SmallCap
BERGEPAINT,Other/SmallCap
BESTAGRO,Other/SmallCap
BETA,Other/SmallCap
BFINVEST,Other/SmallCap
BFUTILITIE,Other/SmallCap
BGRENERGY,Other/SmallCap
BHAGCHEM,Other/SmallCap
BHAGERIA,Other/SmallCap
BHAGYANGR,Other/SmallCap
BHANDARI,Other/SmallCap
BHARATCOAL,Other/SmallCap
BHARATFORG,Other/SmallCap
BHARATGEAR,Other/SmallCap
BHARATRAS,Other/SmallCap
BHARATSE,Other/SmallCap
BHARATWIRE,Other/SmallCap
BHARTIARTL,Other/SmallCap
BHARTIHEXA,Other/SmallCap
BHEL,Other/SmallCap
BIGBLOC,Other/SmallCap
BIKAJI,Other/SmallCap
BIL,Other/SmallCap
BILVYAPAR,Other/SmallCap
BIOCON,Other/SmallCap
BIOFILCHEM,Other/SmallCap
BIRLACABLE,Other/SmallCap
BIRLACORPN,Other/SmallCap
BIRLAMONEY,Other/SmallCap
BIRLANU,Other/SmallCap
BLACKBUCK,Other/SmallCap
BLAL,Other/SmallCap
BLBLIMITED,Other/SmallCap
BLISSGVS,Other/SmallCap
BLKASHYAP,Other/SmallCap
BLS,Other/SmallCap
BLSE,Other/SmallCap
BLUECOAST,Other/SmallCap
BLUEDART,Other/SmallCap
BLUEJET,Other/SmallCap
BLUESTARCO,Other/SmallCap
BLUESTONE,Other/SmallCap
BLUSPRING,Other/SmallCap
BMWVENTLTD,Other/SmallCap
BODALCHEM,Other/SmallCap
BOHRAIND,Other/SmallCap
BOMDYEING,Other/SmallCap
BONLON,Other/SmallCap
BORANA,Other/SmallCap
BOROLTD,Other/SmallCap
BORORENEW,Other/SmallCap
BOROSCI,Other/SmallCap
BOSCH-HCIL,Other/SmallCap
BOSCHLTD,Other/SmallCap
BPCL,Other/SmallCap
BPL,Other/SmallCap
BRIGADE,Other/SmallCap
BRIGHOTEL,Other/SmallCap
BRITANNIA,Other/SmallCap
BRNL,Other/SmallCap
BROOKS,Other/SmallCap
BSE,Other/SmallCap
BSHSL,Other/SmallCap
BSL,Other/SmallCap
BSOFT,Other/SmallCap
BTML,Other/SmallCap
BUILDPRO,Other/SmallCap
BUTTERFLY,Other/SmallCap
BVCL,Other/SmallCap
BYKE,Other/SmallCap
CALSOFT,Other/SmallCap
CAMLINFINE,Other/SmallCap
CAMPUS,Other/SmallCap
CAMS,Other/SmallCap
CANBK,Other/SmallCap
CANFINHOME,Other/SmallCap
CANHLIFE,Other/SmallCap
CANTABIL,Other/SmallCap
CAPACITE,Other/SmallCap
CAPILLARY,Other/SmallCap
CAPITALSFB,Other/SmallCap
CAPLIPOINT,Other/SmallCap
CAPTRUST,Other/SmallCap
CARBORUNIV,Other/SmallCap
CARERATING,Other/SmallCap
CARRARO,Other/SmallCap
CARTRADE,Other/SmallCap
CARYSIL,Other/SmallCap
CASTROLIND,Other/SmallCap
CCAVENUE,Other/SmallCap
